text,sentiment
" awe! i miss him so much. they`re on 'vacation'. which has lasted for like, six months. and i miss you!",negative
"Just for fun: Jessica Alba weekly Twitter follower count: 35,138 (+5,468). This is starting to look like a movement.  ",neutral
" haha nice! I heard it`s a sweet hotel. On another note, not a good game last night",neutral
395 votes for Hungary?What? But....but...the Nurburgring...  http://tinyurl.com/mtfye3,neutral
" That`s what`s up hah. I`m great, thanks  Just waiting for all the craziness to take off.",positive
 will have to pare down his collection of portraits of  and bangbang,neutral
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
_benson  Woohoo! Well Done! I started Macarena-ing too,positive
 Worried about our Arabelle. Tweet please. Or text.,negative
"http://twitpic.com/4jkea -  now has 10,000 followers! Congrats!",positive
 congratulations ! you guys finish a month early than we do. booo,positive
" im sick  if i wasnt, id be at the show with ya!",negative
"I`m sending a Happy Mama`s Day shout to the greatest Twit-mama ever to ... U kick ****, all day - everyday! Lovely sons!!",positive
 I`m so sorry  do you want me to call? If not I will be on aim in a couple of hours if you need to vent,negative
 sounds good. Appreciate the suggestion. Been a week now and we`re still offline  Time to ask for a refund...,positive
waaa the octo drive and i can`t go for it,negative
Glad it`s Friday... but bummed that I am officially working Saturdays.,neutral
What a dreary day in LA. Where did all our sunshine go?,negative
 ...actually find something they`ll like. it`s easy to get a good gift with a lot of money tbh. nowhere near as personal though,positive
"what is love!? baby don`t hurt me, don`t hurt me, no more. I WANT TO WATCH `NIGHT AT THE RUXBURY` RIGHT NOW!!!!",negative
_princess69 hehehe! Barry Killer! U need a pic,neutral
"Yes, he`s really back!: I couldn`t wait for this day to arrive and finally it`s here! Gale is back!!!  I`m pos.. http://tinyurl.com/dzzaf5",positive
"googled mothers day, PHEW, US & UK have different dates! Learn something new every day",neutral
I must be the only fool in twitterland that doesn`t get retweet!!  #sadsville,negative
watching HGTV at 236am lol wtf must love me some home decor,neutral
" Yes, I liked it very very much  It wasn`t even cheesy!",positive
 ok Im off to pc world then  **** tweet u later **** lol,neutral
_carter It says the video is private,neutral
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,negative
 oh I am so sure they do get everything. They live their like celebrities,positive
Finishing Homework.  BOOO,neutral
Archie Proposes Veronica in the Latest Archie`s Comic. The Longest known Love Triangle is coming to an End. Poor Betty.,negative
mum just made me cry coz she said something so sweet to me  i love her so much! MUMS ARE THE BEST!,positive
 Yeah I know  Things would be so much easier that way. I`m bored the boys are playing tekenen (I can`t spell it),neutral
 i like it,positive
"Darn it, I`m craving wedding cake... a craving that`s very hard to satisfy with anything else!",negative
 He`s gonna do it for mothers day  Ever notice Papa looks like Squiggy from Laverne snd Shirley. I love him.,positive
 i voted and i couldnt,negative
i just fell going into my house.. not fun,negative
 yes but they hate it when we do it...silly boys,negative
Chick at coles hit on me. Haha Ran into cousin,neutral
bali!! can wait for it,neutral
" Girl, you`re crazy... I LOVE! you.  Hahaha, and I GOT! yo` Lp Chap.",positive
I`m out looking for warblers! Seen a yellow so far!  And a blue grey gnatcatcher,neutral
" Yeah it`s the Ford Focus Titanium, you only get the helicopter add on with the top-end luxury models unfortunately",negative
 It`s not as bad if you don`t combine. FX are nice. I like Windows 7 1000x better than Vista so far. To me Vista is Win ME reborn,positive
rock pooling.  Can`t believe I get paid for this!,neutral
 got really sad wen holly started crying   awwww bless,negative
" Should work fine, as far as I know. *shrug*   Maybe send a tweet to ?",neutral
still no pool key. wth. it`s even hot out today.,negative
at work  then back to my baby`s house,neutral
" thanks, u 2!!! Idk if Im going or not... I don`t feel like getting all dress up and doing my hair!!!  LOL",neutral
 Haha of course! That`s my favorite album of all time,positive
"Allianz interview went well, got a rejection from MOD though  .... going to be a long weekend as I hear from Allianz on Monday",positive
i HATE U.S. history,negative
why yes jeeves. bring me that noose there  TOO MANY ASSIGNMENTS!,negative
" Tom, I saw again a guy who looks like you in my campus today. He`s SOOO adorable... :') But you`re still cuter than him. Haha..",positive
2nd period studyhall + remembered my ipod = music time!,neutral
HOMEWORK  BORRIING,negative
 I trailed the streets of Sheffield and couldn`t find the pub!  And all the numbers I had were landlines. How goes it?,neutral
**** everything,negative
"_Bones Four capital letters. Aye boy, same as that. I heart Justice.",neutral
"greek season two, i love this show.",positive
 It`s because we`re right,neutral
So I love my mac but msn doesn`t work on it still,neutral
"gooooooodmorning world(: god bless, and have a great day!",positive
"What I would have done with legless stillborn spaniels, no idea. BUT I WAS SAD, so now, 20yrs later, strawberries = dead puppies.",negative
"right, so richard marx`s right here waiting is really making me feel nauseatingly sad.",negative
a successful shopping day,positive
_elaine Our chandelier is here! I seriously don`t know how 2 get it through our door without sending it crashing down our steps,negative
" im disgusted as well and baron, spelling lessons homie!! haha it`s 'effort' and 'team' r u shwasty? shloshed?  i love you",neutral
" Sure you will tweet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste.",negative
Finally out of school for today! HAD TO SIT IN LIBRARY FOR A LONG TIME,negative
REALLY want to go to Maker Faire tomorrow but I am SO SICK.  #makerfaire,negative
 I just tried to go back and the police blocked off the whole neighborhood.  they`re evacuating the building now,neutral
" lol, Thanks for the morning Chuckle   Not sure if you follow me? Please check..",positive
"got so totally lost that I had to pay for a taxi to get me back to where I was supposed to be. Yeah, something like that, lol.",negative
super hungry... Dominos or martabak... both tempting and fattening,neutral
 Wow - that`s one deep sleep!  Wish I could sleep like that -one little noise and I`m awake,positive
 Oh cool! When is Alpha 1.18 coming out? Auto-connect was the feature I wanted to request,positive
"nope, san leandro marina.    how are you?  hope you`re well!",positive
**** you is all i have to say,negative
" - Yea, I really need to learn to reload my own",neutral
Just got home from the BEA & it was kinda boring (2 me) this year  but hung out with some GREAT authors & co-workers!,neutral
 everything is your fault moxy...everything.   x,negative
 seen him! he`s beautiful,positive
 tegan and sara fan? follow them ,neutral
 haha wats this about?,neutral
"Apparently Paige is partying with Rose Jenn and Adam again, without me   My child has such a wild imagination.  ;)",positive
  yep! jimmy buffett FTW!!!... jimmy needs to tweet his words of wisdom every morning,neutral
i feel extremely depressed right now.,negative
"No Rockin on the River for me, tonight...",neutral
" ok babe gotta go back to work, tweet you later",neutral
My my I have never watched so many movies in one night with my mommy,neutral
 Oh...ok...didn`t know that.,neutral
 Yup I stayed until the very very end  Exciting!,positive
_shines92 aww that sucks,negative
I`m missing one of my diamond earrings. This makes me sad.,negative
The city officially smells like dead fish,negative
it`s friday night. i`m home. no party this weekend,negative
 My windows open and its not that cold ahahah,positive
  let`s hope so,positive
" haha. not sure what local is to you, but if i was then you`d have to fight me for it!",neutral
good times haha ily christian and mo  gonna watch dazed and confused in a while ha also my first time watching it ha im so lame,neutral
"**** it...Margie said she couldn`t share the info on who killed Evil Eddy with me   She wanted my info again, gave it to her",negative
"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed",negative
diiinner  its sooo cold right here D:,neutral
"I say 'oh man..' jovani asks, 'did you just call me an old man?' haha",neutral
Going to sunnybank,neutral
looking at tabs for all of the 'Boys Like Girls' songs,neutral
" ohhh. i didn`t log on there, pity me. was it great?",negative
auntiegail says `Today I am picking up the hi-vis vests for the kids they say `Auntie Gails Childminding Service`  ****.`,neutral
"Oh, I forgot. They weighed me at the Dr. I am at my highest weight ever.",negative
I have a sore tummy,negative
thanks gourmetcook! But cold shower wouldn`t help.,negative
is sad she is going to miss the Dream Team party... but i didnt RSVP in time.,negative
Got a right bad headache,negative
okay im happy again  i watched the second episode of jonas on youtube. i think tomorrow my family is going to olive garden for mothers day,positive
In Drivers Ed  then dance.,neutral
 hahah I`ll try,neutral
: ''UB40-'Bring Me Your Cup'''  ? http://blip.fm/~7af72,neutral
i still DON`T have the internet @ home  ****,negative
 I`m at work,neutral
" hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely",neutral
 the justice left when DJ Talent was voted off (N),neutral
" don`t frown my lil aussie, I still love you! *muah*",positive
msn-ing. no school  shouldn`t there be more bank holidays? x,positive
 I do now LOL.,positive
 Damnit all. That sucks.  You were one of the ones I thought I`d drag back lol,negative
 Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?,positive
" oh no, you`re gonna have to break up w/your ups guy when you move",negative
feeling extremally ill,negative
everyone follow  and  ! they are amazing,positive
 Lol! Joyologist? Love it - much better than the happy freak who can`t stop smiling  Enjoy Monday!,positive
ouch... head hurts,negative
  walah me 2 still i am not getting the full idea,negative
thanks !!my real name is nadia,positive
 Thanks about the ponytail. I dreamt last night that I shaved my head...??? I guess it`s a bigger deal than I thought.,positive
 hey Mr Danger!!!,neutral
i`m kinda sad of being alone all the time i miss my brother  and my friends suck i mean no one has even called me in 2 weeks,negative
Finished Death Du Jour. School`s out.  Nerd.,neutral
"In pain,, poor me, I HATE THE SUN",negative
@__sugar oh no  i am always here ;) <3,neutral
" What makes me sad is when I follow someone I converse with and have similar bios, but they don`t follow me back!",negative
 I LOVE IT!!!!!!!!!!!!!!!!!!!!!! I ALSO LIKE THE NEW PROFILE PIC!!!!!!!!!!!!!!!!!!!!,positive
 I was really disappointed with the whole 'promiscuous girl' thing. congrats on her success but i think wasted talent,neutral
" it actually is ;) According to all the retweets, at least!",neutral
 I googled 'engagement rings' & this is the EXACT ring i want.it was the 1st result too  *sigh* love it.http://twurl.nl/jaq5j4,positive
I just lost my favorite pen  good thing I have a back up =D,negative
Yay! Just bought American Dad Volume 4  also seen Australia is out on DVD. Could be a lot cheaper than going...,positive
 I missed you guys this morning. I`m in Tacoma w/ no KGW to start my day.,negative
    i have been getting **** ones as i mentioned - all these girls seem to be at a loss what to do!,negative
_ They were some nice Pics you have kept  there.. you seem to carry your Cam around along with you..,positive
is moving out of Nesbitt.,neutral
What a great night.,positive
 I can`t work out if you`re into diesel or rice burners.,negative
" Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!",negative
Taylor Swift and Joe Jonas looked really good together. I`m kinda sad they broke up.,neutral
" sold out in 6 stores, i don`t think so",neutral
does not like ups much today...,negative
watching ace of cakes  its suwweeeeet they use alot of fondont or howeva ya spell it.(:,neutral
" Great service, but I find the time lag from time of posting to appearance on Twitter to be a small downer",neutral
sitting in school  sucks to be me!,negative
 I sawn it three times,neutral
Somehow my alarm became an hour fast and I came to realize it as I was leaving the house.. It feels good having an early start,positive
" If you keep trying, you`ll get it right the last time.",positive
 Morning! I have loads to do 2day  goin for a walk 1st to get rid of last nites haribo`s,neutral
"I am saving for a Ipod Touch, a 1TB external and a RAM upgrade. No more morning coffees",neutral
" I`m a jerk...  now I can`t go out    Dammit Frank, why do I suck so bad?",negative
 thats another sponsor,neutral
i can`t sleep.  amp.,negative
 so you should. You`re a fantastic actor it`s about time you got some recognition for it.,positive
Doing my fieldwork databook. Slept awkwardly. Bones all sore.,negative
"In a philosophical mood tonight, wandering round after dark does that for me",neutral
 The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i`ll be home around 7 pm!!!  ****,positive
 ohh kayy fasho if u go tonight have fun for me,positive
stranded @ delhi Airport  flight delayed,negative
DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,positive
 did u try taco n mac n cheese pizza???? I`m so cravin it right now BUT all the good food makes me sick,neutral
" so I wanted to DM you back but I couldn`t cuz your not following me  but thankss anyways, maybe ill see ya around in ELLE-AY  ...",positive
"Trip to DC next week canceled.  So, no Artomatic or beer with .",neutral
" yeah real hard, but I know you`ll get by with it... smile",neutral
Such a long day!!! So much fun though  tomorrow will be just as much.,positive
My son`s first tooth came out but he left it at school,neutral
Ugh Final Exam today....Ready for my Summer to start.,neutral
_girl - Bummer...mail came but package didn`t,negative
HAPPY MOTHERS DAY TO ALL THE MOTHERS OUT THERE!!!!!!!,positive
_crisis deathmatch? I don`t have that game. Plus.... I`m not really good at any games  lol,negative
Whoops - I got sunburnt,negative
 ok point taken.  I`ll tell my team to stop our cynical championing of standards. Active-X is far better anyway,positive
Scared  waiting for the call,negative
 Joe just put a new bulb in my spotlight,neutral
 I work at a movie theatre in Toledo and I`d let you come see it for free. But it`s not in 3D,neutral
 yeah I know. I need to get back into twittering. Just haven`t felt it.  but yes. Thank god for txtin. I would miss ya more,neutral
SUNNY DAY!  going down to Stonehenge with my parents...,neutral
Through to quaterfinals of charity football tournament. My penalty save sent us through,positive
"When youre kawawa, you make me kawawa cuz i hate seeing you so kawawa`s  ohhhhh <3",negative
_val_4_now not sure what youre talking about...im not on a ferris wheel im on my couch!,neutral
 awww I wish I could have been there  I`m stuck here about to jab out my eyes with knitting needles,neutral
has just received a phone call for new patients...i guess that means work for tomorrow!,neutral
_cunning I gotta go to my cousin`s grad party,positive
"That little girl holly!  find some time! Aw, she`ll get loads of votes now I bet!",neutral
"A sunny morning in the Big K, with lawns to mow and a 2 mile to run to attempt, urgh",negative
I`m jumping off the nearest bridge if I can`t have it,negative
" Almost, almost.. Thanks on the 'good save' Z!",positive
installed ubuntu 9.04 on my office lap! yaaaaaaaaaaaay!   'install under windows' feature rocks!! #awesome #ubuntu #excited,positive
" dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",negative
 um Mr. Deadly Sir . Can You Please Follow Me On twitter .,neutral
Dell FX100 Pc-over-IP audio device (Teradici) is giving me a hard time in #Linux #Ubuntu Jaunty  Kernel isnt loading the snd-hda-intel drv,negative
"???ï¿½ï¿½  ???CE d grade?mock?????, ???????",neutral
Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn`t,negative
"Life is over! Just went to get tickets for all time low, sold out  anyone got spares or wanna sell me theirs?",neutral
put ad on craigslist/Quebec 4 tan salad plates with bird drawings  can only do 1 area @ time. I still need 3 more. Got 2 at my Tuesday AM,neutral
"This wind is crampin` my style. I have a section of my yard that won`t get any water. I`d move the sprinkler, but it`s surrounded by mud.",negative
 EXACTLY!!,neutral
"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow",negative
 lol we should start a group lol the **** sisters,neutral
Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,negative
"In bed eating chocolates after 2 super parties, yay  playing with the new camera - could I be an amazing photographer?",neutral
Went to see 'UP'. It was a really good movie that pulls at the heart strings  i highly recommend it,positive
 Welcome back!,neutral
*sigh* i always disappoint people who get in my way...  everyone .. i`m OUT.. i might disappoint everyone else here..,negative
  they r the most random things that my mind can churn..as the Chennai heat gets to me I can assure u these will b more often.,negative
my tv is so boring,negative
" wow!  Nice roar, I see good things in your future",positive
 haha have good dreams  haha best friends forever! haha. be sweet to presh bailey   zd?b;P,positive
